page	concepts
1	Cover: title, Steiner attribution, seven lectures, Courtney introduction
2	Full title: healing and revitalizing Earth; publisher and distinct introduction credit
3	Three source lecture cycles and their translators; Means as editor and author of chapter introductions; Gardner as agricultural annotator; introduction copyright
4	Introduction followed by seven numbered chapters and further reading; contents heading differs from introduction heading
5	Courtney's problem of an unclear practical definition; sympathetic Steiner biography; spiritual science; eight-lecture agricultural origin
6	Reported agricultural deterioration; fertilizer critique and Law of the Minimum; dying Earth and withdrawing nature forces; nutrition–spiritual development–preparations argument; speculative account of delay
7	Farm individuality; celestial rhythms; preparations as distinguishing practice; concessions about other farming traditions; Figure 1 preparation numbers
8	500 manure/winter and 501 silica/summer polarity; 502 yarrow/bladder; 503 chamomile/intestine; 504 nettle; 505 oak/skull; 506 dandelion/membrane; 507 valerian; 508 horsetail
9	Disputed status of 508; grape Brix, topsoil, rain and dew anecdotes; understanding through doing; anthology selection and context caveats
10	Courtney's explicit preparation and spiritual bias; why GA 136 and GA 230 accompany agriculture; nature-spirit nourishment interpretation; limited explicit elemental reference in agriculture
11	Practical versus spiritual definition; Pfeiffer, Koepf and Wildfeuer; secrecy and diluted public explanations; Rodale–Pfeiffer history as Courtney's account
12	Courtney's materialist characterization of organic agriculture; living Earth within living cosmos; calendar success reports and failed replication
13	Tropical signs, equal sidereal sectors and astronomical constellations; precession; need for calendar research; preparations and life forces; Pfeiffer's practical rhetoric
14	Compost Starter and Field Spray; Koepf's spiritual framing; Wildfeuer's critique of materialism; changing audiences and degrees of disclosure
15	Omission of horsetail; Courtney's efficacy and courage argument; personal interpretive path; Pfeiffer-mediated urgency quotations
16	Urgency and Earth healing; plant as inverted human; root/nerve-sense, leaf-flower/rhythm, fruit/metabolism; physical, etheric, astral and ego across kingdoms
17	Ninefold human being; Figures 2–3 plant/human correspondences; four formative ethers; forces versus substances; limestone and silica polarity
18	Figure 4 ether/element correspondences; Figure 5 geographic polarities; clay and compost mediation; Europe-centered compost tradition; Courtney's Africa extension
19	Podolinsky and prepared 500; balancing Australian cosmic with earthly forces; Courtney's American silica recommendation; Porter distribution experience; conflicting scorching warnings
20	Horsetail dispute; problem–solution reading of Agriculture III; comet/plant and feminine/masculine analogies; water/fire constellations; rain-control claim and proof qualification
21	Nine preparations as a totality; Figure 6 comet analogy; Lucifer and Ahriman geographic roles; Asuras, Sorath, 666 and speculative 1998 deadline
22	Catastrophe predictions and Courtney's preparation claim; Shoreline mediation; America beyond national borders; projected constellations and national emblems
23	Dixon's Mexican-mysteries narrative; fear, sacrifice and fire-earth catastrophe mechanism; nine subnature layers; opposition to Golgotha
24	Vitzliputzli, music and elemental redirection; Figure 7 subnature/human correspondence and dates; tone ether and water; Powell and Emmerich as further voices
25	Christ ether-body exception; twelve-year and thirty-three-and-a-third-year rhythms; 1933/1945 interpretation; atomic war and subnature; 1992–2004 fire-earth period
26	Technological shielding speculation; preparations and Earth's breathing; downwind healing conjecture; contrail anecdote; Malsch foundation-stone quotation introduced
27	Earth spiritualization in Malsch quotation; Courtney's preparation inference; Keyserlingk testimony through Powell; golden interior, Shamballa, Christ and dangerous helper-beings
28	Courtney identifies preparations as tools for helpers; Powell's Sputnik and technological/cultural chronology; drug/soul correspondences; American geographic thesis
29	Steiner quotation links passions to geological catastrophe; ethical transformation of Earth layers; Powell's Beatitudes correspondence; future descent explicitly speculative
30	War of All against All; nine-stage vortex and indispensable 508 as Courtney's picture; Michael sword quotation and interpretive extension
31	Novalis through Steiner; Christ as planetary spirit; ecological responsibility; generalized Indigenous comparison; Klett's new elementals and Courtney's redeemed-elementals alternative; love as selfless will
32	Klett's free human deed; Courtney's life-ether conclusion and all-nine imperative; translation comparison in notes; Law of the Minimum definition
33	Notes 4–27: practical dose and sequential-spray references; source trail through Pfeiffer, Koepf and Wildfeuer; Geographic Medicine; astrosophy definition
34	Notes 28–46: Mexican Mysteries, Gates, Shoreline, Emmerich, Keyserlingk, Beatitudes, Michael, Novalis and Klett; nested citation chain
35	Means's introduction versus Steiner's lecture opening; schooling of perception; two elemental classes; assumed spiritual-science audience
36	Physical includes perception, thinking about perception and action; spiritual impulse in moral action; study as soul education; changing interests
37	Esotericism begins with committed study; color-vision analogy; educated feeling versus sentimentality and pride; claimed occult access
38	Etheric body definition; human unity versus nature's plurality; moral perception method; blue-sky starting exercise
39	Blue to devotion and infinity; green to creative thinking; disappearance of sensory impression; experience claimed conditionally available to everyone
40	Snow-whiteness to substance; tonic/octave to wish and reason; sympathy/antipathy; inner response as proposed access beyond sensory veil
41	Elemental world; fixed form versus metamorphosis; descriptive analogy; mine warmth as preparatory impression
42	Mineral beings and imaginative vision; love and trained attention as conditions; occult meaning of empirical; waterfall, mist and changing forms
43	Water beings draw plants downward-to-upward from surrounding space; distinction from internal upward impulse; descriptive observations before theory
44	Lecture conclusion and GA 136 lecture 1 provenance
45	Means's overview; sylphs and ripening; fire spirits and seeds; cycles and planetary spirit; Steiner resumes previous lecture
46	Air beings flash rather than retain form; dry illuminated air versus water; three elemental territories; seed protectors introduced
47	Fire beings transform environmental warmth; four element territories; Earth's etheric multiplicity; question of Earth's astral body
48	Claimed conscious sleep and GA 10 reference; astral departure; higher spirits distribute elemental work by season and region
49	Participation versus external observation; thought/feeling/will of cycle spirits; seasons, day/night and Earth's rotation
50	Successive veils; sleeping I versus awakened astral body; fragmentation danger and Dionysian analogy; need for safeguards
51	Memory as truthful valuation of accomplished deeds; unsupported reincarnation claims; karma and unrealized merit; conscience and increased dishonesty risk
52	Preserved conscience and memory; I as continuity; union beyond locality; spiritual Sun during sleep
53	Planetary unity as beginning rather than full differentiation; cosmic relationship task; Earth's sense apparatus; four-level sequence
54	Forces as imprints of nature spirits; laws as imprints of cycle spirits; maya; art, philosophy and meaning as planetary-spirit trace
55	Four imprints; human–Earth correspondence; planetary perception and fellowship; GA 136 lecture 2 provenance
56	Means's plant-cycle synopsis; shift to Steiner; visible and invisible as a whole
57	Plant mystery versus animal will; loss of elemental knowledge; gnomes as mineral mediators; spiritual vision as claimed method
58	Gnomes as immediate sense-intellect; plant brings cosmic ideas downward; autumn/winter preservation; contrast with discursive reasoning
59	Gnome irony about logic; amphibian-form danger; antipathy supplies upward thrust; earthly home versus resistance to earthly fixation
60	Undines as dreaming metamorphosis; fish-form avoidance; combining/separating substances; water–air boundary and leaf chemistry
61	Sylphs in air and warmth; bird-flight cosmic music; externally kindled ego; love versus gnome/undine antipathy
62	Sylph light and undine chemistry weave ideal plant form; autumn descent to gnomes; explicit rejection of botanical fertilization
63	Fire spirits collect warmth; pollen airships; cosmic male seed and earthly female form; cambium; underground winter fertilization asserted literally
64	Life, chemical, light and warmth ethers as cooperative cycle; Goethe's instinctive objection; insects and intensified fire-spirit affinity
65	Bee aura; spiritualized matter and human incarnation; warmth returning to Earth; wonder retained through explanation; recap of cooperating forces
66	Antipathy, density, gravity and magnetism; sympathy, love and sacrifice; opposing streams meet as plant life; fertilization disagreement restated
67	Means's animal/sleep synopsis; harmful displaced forces; Steiner's opening about lost perception
68	Physical/etheric instruments as limit; ancient Saturn developmental scheme; animal incompleteness; gnome gravity-body and vigilance
69	Gnome attention and independence; goblin proverb and classroom example; dream masks; unprepared death imagery
70	Falling-asleep entombment image; undines and external armor; claimed inadequacy of material explanation; Inspiration in deep sleep
71	Sylph complements bird with metabolism/limbs; bird-dependent ego; awakening dream/light sensitivity; butterfly complement introduced
72	Winged-human composite; upward versus downward complements; fire spirits and observing thought; world thoughts and reflected brain images; Esoteric Science standpoint
73	Benevolent and malevolent beings; misplaced formative activity; parasites; attentiveness and spiritualist criticism; brain-development paradox
74	Spiritual lower brain versus physical upper brain; elimination metamorphosis; qualification about old remedies; destructive and regenerative powers; nightshade introduced
75	Nightshade and bird/human difference; poisonous almonds and displaced fire activity; location determines beneficial versus harmful effect
76	Brahma/Vishnu/Shiva correspondences; visible–invisible cooperation; death and rebirth; earthly forms as readable signs; highlighted recognition of supersensible nature
77	Means's horn-preparation synopsis; Steiner's whole-nature method; critique of narrow investigation
78	Finger/earlobe analogy; historical protein example and long-term effects; qualified criticism of scientific revision; nourishment as forces
79	Food as activity stimulus versus atmospheric substance; experiment/theory distinction; comb analogy; tree comparison introduced
80	Humus mound and bark analogy; elevated earth and etheric vitality; life extends beyond roots; fertilization as soil enlivening; plant parasitism metaphor
81	Black-earth exception; personal relationship to manure; skin boundary and retained smell; aromatic meadow; nitrogen and living soil
82	Minerals affect watery rather than earthy element in Steiner's account; compost etheric/astral balance; lime and oxygen; pasture and inner animal vitality
83	Layering and odor/nitrogen retention; life and astrality; horns/hoofs turn forces inward; antlers send forces outward; form and temperament
84	Horn–digestion claim; manure carries etheric/astral forces outward; preserving forces through decay; microbes treated as indicators
85	Horn-manure burial and winter inwardness; reported odor change; concentration and dilution; stirring reversal and intimate mixing; personal participation
86	Supplement to ordinary manure; horn silica and summer polarity; small dose and spraying; upward/downward complement; yield appearance versus nourishment
87	Human-centered whole-nature conclusion; dilution scaling untested; hand versus machine; Ritter-remedy analogy
88	Enthusiasm as proposed mediator; social stirring; dilution requires remixing; dynamic versus material effect; initial misunderstanding of filtering question
89	Strainer concession; Swiss bucket and measures unresolved; horn reuse tentative; locality and hemispheric qualification; cow age and horn size
90	Female cow versus bull/ox horns; sowing/reproduction/nutrition distinction; sand and rain untested; storage and disinfection claims; seed chaos
91	Optional silica and wheat/sainfoin comparison; plot size empirical; horn versus diluted-mixture storage; spraying does not lose forces; silica-horn storage
92	Humus burial site; machinery accepted with specific stirring reservation; excessive dose and rank growth; cow versus horse manure question
93	Before-sowing preference and late trial; horn reuse limit; personal meditation/nitrogen claim; seasonal concentration and pest-control proposal
94	Peasant philosophy and cultural loss; almanac anecdote; translate intuition into numerical tables; respect public understanding; soil-dependent lime
95	Compost turning and covering; transitional potash magnesia; ordinary manure remains necessary; notes on black earth, feldspar, numbers 500/501 and bucket volume
96	Means's six-preparation overview; Steiner reiterates supplementation; soil as continuation of plant life; mound/bark bridge
97	Acknowledge legitimate modern achievements; farming removes forces; flies/dirty-room analogy; bacteria as effect and indicator rather than effective inoculant
98	Positive proposals needed with criticism; organic versus mineral enlivening; macrocosm over microscopy; earthly nutrients versus alleged heavenly trace inputs
99	Exhaustion despite manure; receptivity versus adding substances; fine doses; Kolisko and homeopathy; horn sprays versus further manure treatment
100	Substitution possible except nettle; main organic elements and potash; yarrow sulfur organization; nature spirits and astral weakness; wild presence and inflorescences
101	Yarrow summer/winter preparation; wide radiant effect and radium analogy; nutrient reception; highlighted deer/cosmos, antlers, urinary process and bladder forces
102	Cow/deer contrast and bladder enhancement; highlighted potash versus calcium; chamomile's sulfur/calcium role; intestinal sheath and winter earthy vitality
103	Chamomile snow/sun setting, nitrogen retention and plant health; mountain-railway analogy; substitutions; nettle sulfur/potash/calcium/iron and heart analogy
104	Nettle iron redistribution qualification; year-long burial without animal sheath; intelligent manure/soil and nitrogen retention; nutrition versus size; diagnosis versus cure
105	Organic calcium and oak; etheric restraint and astral access; skull, water and decay; disease prevention claim; silica-receptivity problem
106	Alchemical potash/lime-to-nitrogen claim under hydrogen; silicon transformation; macrocosmic premise; dandelion potassium–silica mediation
107	Dandelion mesentery/winter; plant sensitivity and distant resource uptake; five solid additions; valerian liquid/phosphorus; six-preparation synthesis
108	Male red deer and perennial nettle clarified; rain balance and peat; preparations also promote weeds; Krantz method and long-term reservation
109	Heating versus loose storage; mound height/site; vineyard adaptation deferred beyond selection; unpaved soil contact; sand/clay/loess distinctions
110	Conflicting dandelion/yarrow fodder reports; animal instinct claim; dose and use versus inherent substance; yeast/medicine analogy; tiny cultivation area sufficient
111	Storage after mixing; separated burial; surrounded placement and radiations; distributed holes versus single-hole uncertainty; Quercus robur
112	Living outer bark; topsoil/frost; fine quartz; food/air assimilation and glove analogy; species and Kolisko notes
113	77 percent refers to ash analysis; Quercus robur versus rubra; mesentery portion uncertain; numbers 502–507; deer and loess notes
114	Highlighted Means near/distant planet distinction; editor's confident pest synopsis; Steiner's narrower examples-for-experiments opening; weeds introduced
115	Weed as human relational category; near planets through soil/lime and distant planets/silica; phylloxera historical example
116	Seed succession versus edible expansion; reflected sunlight plus lunar forces; former Moon–Earth unity; reproduction as intensified growth
117	Moon as cosmic reflector; physical proof unavailable; full/new moon and delayed effects; wet-year weeds; block lunar receptivity
118	Seed-ash counterforce; four-year claim; dandelion use versus suppression; Kolisko appeal; external testing as compromise with inherent certainty
119	Arithmetic/workforce analogy; adverse results reinterpreted; historical mouse-control criticism; neighboring fields and imposed uniformity
120	Shared understanding versus police; mouse-skin ash and Venus/Scorpion; animal retention of lunar forces; zodiacal extension; wide effect and coverage gaps
121	Rodent/insect distinction; beet-nematode symptoms; displaced cosmic influences; conditions-of-life analogy; cockchafer and four-year cycle
122	Whole-creature ash versus skin; Sun/Bull timing and broader constellation arc; seasonally differentiated Sun; fire reverses fertility; nematode/insect conflation
123	Pepper metaphor and spreading destruction; plants lack internal astral body; disease redefined; lunar water mediation and wet seasons
124	Over-enlivened soil and raised soil-level image; fungi and seeds; horsetail limits mediation; kidney analogy and testing qualification
125	Compass analogy and macrocosmic method; science as grasp of effective forces; ethics question; famine/civilization necessity argument
126	Misuse and Atlantis narrative; restricted knowledge versus printing; moral education and agricultural circle; good/harm depends on location; nerve-cord distinction
127	Chamomile/nettle identification; aquatic weeds and underground pests; vineyards explicitly untested; downy mildew; wine/abstinence tension and pragmatic tolerance
128	Stag-bladder substitute unknown; insect constellation tests; Venus visibility wording; potato tops; peritoneum not tripe; fruit-crop detail deferred; ordinary practice retained
